index,x,y,z
563,0.003723,-0.14386,-0.991028
564,0.007065,-0.147293,-0.980164
565,0.004684,-0.14653,-0.984222
566,0.003342,-0.151108,-0.985443
567,0.00766,-0.151077,-0.981842
568,0.004715,-0.146072,-0.99382
569,0.005371,-0.14653,-0.989639
570,0.007034,-0.145737,-0.982452
571,0.003845,-0.1465,-0.984787
572,0.004822,-0.152573,-0.980637
573,0.005188,-0.147827,-0.983719
574,0.005249,-0.145554,-0.992584
575,0.005463,-0.14682,-0.986969
576,0.005676,-0.142792,-0.980209
577,0.004242,-0.148865,-0.983627
578,0.004135,-0.151016,-0.979645
579,0.005325,-0.145737,-0.982742
580,0.005493,-0.14917,-0.992569
581,0.004913,-0.144867,-0.98671
582,0.00705,-0.143295,-0.981339
583,0.005249,-0.151459,-0.987305
584,0.004257,-0.148331,-0.978683
585,0.007217,-0.149841,-0.983322
586,0.00531,-0.14888,-0.994385
587,0.003876,-0.142685,-0.986359
588,0.008163,-0.146011,-0.985748
589,0.005188,-0.15033,-0.985718
590,0.004364,-0.147827,-0.976944
591,0.006973,-0.151718,-0.986557
592,0.003067,-0.147461,-0.991867
593,0.005219,-0.143082,-0.98262
594,0.007462,-0.146988,-0.987411
595,0.001724,-0.14679,-0.982468
596,0.005447,-0.149307,-0.976059
597,0.005875,-0.151138,-0.987625
598,0.00296,-0.146667,-0.988235
599,0.007507,-0.146561,-0.982544
600,0.005905,-0.146301,-0.990204
601,0.003342,-0.148224,-0.980499
602,0.007278,-0.150742,-0.976456
603,0.003174,-0.150299,-0.986206
604,0.004791,-0.149277,-0.987427
605,0.007675,-0.145981,-0.98793
606,0.004761,-0.145355,-0.989532
607,0.005447,-0.151123,-0.979004
608,0.00618,-0.149277,-0.977692
609,0.004333,-0.149902,-0.988907
610,0.005707,-0.150116,-0.989273
611,0.005386,-0.142258,-0.989517
612,0.00618,-0.147141,-0.988693
613,0.006332,-0.150421,-0.980804
614,0.003845,-0.146698,-0.978622
615,0.004654,-0.153305,-0.986221
616,0.005844,-0.148041,-0.987015
617,0.005081,-0.141708,-0.987839
